IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
223.185.37.173,2025-11-19,12:25:17 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nagpur,440022,21.1463,79.0849
223.185.37.173,2025-11-19,12:33:19 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nagpur,440022,21.1463,79.0849
223.185.42.17,2025-11-20,05:29:39 UTC,necessary,desktop,en,Edge,Windows,India,MH,Maharashtra,Nagpur,440001,21.1463,79.0849
223.185.42.17,2025-11-20,05:45:50 UTC,necessary,desktop,en,Firefox,Windows,India,MH,Maharashtra,Nagpur,440001,21.1463,79.0849
223.185.42.17,2025-11-20,06:17:05 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nagpur,440001,21.1463,79.0849
223.185.42.17,2025-11-20,06:36:41 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nagpur,440001,21.1463,79.0849
223.185.36.129,2025-11-22,11:31:58 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nagpur,440022,21.1463,79.0849
223.185.39.181,2025-12-13,11:08:19 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nagpur,440015,21.1463,79.0849
223.185.39.181,2025-12-13,11:38:28 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nagpur,440015,21.1463,79.0849
103.220.81.122,2025-12-13,12:50:01 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Thāne,400605,19.1963,72.9675
223.228.138.76,2025-12-22,09:54:38 UTC,necessary,mobile,en,Chrome,Android,India,MH,Maharashtra,Pune,411004,18.5211,73.8502
106.216.242.220,2025-12-22,09:57:40 UTC,necessary,mobile,en,Chrome,Android,India,MH,Maharashtra,Pune,411007,18.5211,73.8502
49.36.35.183,2025-12-22,10:09:53 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nagpur,440015,21.1463,79.0849
47.11.13.163,2025-12-22,10:11:41 UTC,necessary,mobile,en,Chrome,Android,India,MH,Maharashtra,Nagpur,440022,21.1463,79.0849
